#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33252_159         -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.1e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 239415 # 240521 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
Utg33278_163         -            611 21317at2157          -            319    0.0039   15.1   0.0   1   2       1.6   7.5e+02   -2.2   0.0    67    84   112   129   111   134 0.87 # 224461 # 226293 # -1 # ID=15_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408
Utg33278_163         -            611 21317at2157          -            319    0.0039   15.1   0.0   2   2   3.5e-05     0.017   13.0   0.0    62    84   421   443   402   451 0.89 # 224461 # 226293 # -1 # ID=15_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408
Utg33278_158         -            224 21317at2157          -            319    0.0098   13.8   0.0   1   2   4.7e-05     0.022   12.6   0.0    64   105    15    56    13   105 0.75 # 215168 # 215839 # -1 # ID=15_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33278_158         -            224 21317at2157          -            319    0.0098   13.8   0.0   2   2       1.5   7.3e+02   -2.2   0.0    17    45   160   188   150   198 0.72 # 215168 # 215839 # -1 # ID=15_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33252_675         -            223 21317at2157          -            319      0.01   13.8   0.0   1   1     3e-05     0.015   13.3   0.0    64   118    15    71    13   108 0.75 # 1004744 # 1005412 # -1 # ID=2_675;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
Utg33260_399         -            777 21317at2157          -            319     0.012   13.6   0.3   1   2    0.0012      0.59    8.0   0.0    65    92    40    67    36    86 0.84 # 616685 # 619015 # 1 # ID=6_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
Utg33260_399         -            777 21317at2157          -            319     0.012   13.6   0.3   2   2     0.037        18    3.1   0.1   123   191   592   661   584   672 0.86 # 616685 # 619015 # 1 # ID=6_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
Utg33270_48          -            663 21317at2157          -            319     0.023   12.6   0.5   1   3    0.0026       1.2    6.9   0.0    64    86     7    29     3    34 0.91 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 21317at2157          -            319     0.023   12.6   0.5   2   3       0.6   2.9e+02   -0.9   0.2   193   246   124   177   115   183 0.74 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 21317at2157          -            319     0.023   12.6   0.5   3   3       0.1        50    1.6   0.0    60    82   446   468   404   479 0.74 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33272_486         -            211 21317at2157          -            319     0.026   12.4   0.0   1   1   7.8e-05     0.037   11.9   0.0    64   126    41   101    32   117 0.66 # 721997 # 722629 # -1 # ID=12_486;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
Utg33272_407         -           1045 21317at2157          -            319     0.028   12.3   0.0   1   2       0.3   1.4e+02    0.1   0.0    67    86   461   480   459   485 0.88 # 607209 # 610343 # 1 # ID=12_407;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
Utg33272_407         -           1045 21317at2157          -            319     0.028   12.3   0.0   2   2    0.0006      0.29    9.0   0.0    62    85   694   717   661   737 0.85 # 607209 # 610343 # 1 # ID=12_407;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
Utg33252_544         -            641 21317at2157          -            319     0.029   12.3   0.1   1   1   0.00015     0.073   11.0   0.1    65    87   339   361   337   384 0.85 # 776370 # 778292 # -1 # ID=2_544;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
Utg33254_397         -           1045 21317at2157          -            319      0.03   12.2   0.7   1   3       3.6   1.7e+03   -3.4   0.3   191   232   116   157   102   167 0.67 # 605615 # 608749 # 1 # ID=3_397;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33254_397         -           1045 21317at2157          -            319      0.03   12.2   0.7   2   3      0.56   2.7e+02   -0.7   0.0    68    86   462   480   458   484 0.86 # 605615 # 608749 # 1 # ID=3_397;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33254_397         -           1045 21317at2157          -            319      0.03   12.2   0.7   3   3   0.00035      0.17    9.8   0.0    49    85   681   717   657   737 0.75 # 605615 # 608749 # 1 # ID=3_397;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_archaea_odb10/hmmer_output/21317at2157.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:42:47 2023
# [ok]
