#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264_198         -            527 984717at2            -            224   4.5e-15   54.6   0.5   1   1   3.5e-17   1.4e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302703 # 304283 # -1 # ID=8_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
Utg33270_65          -            370 984717at2            -            224   7.3e-05   21.2   0.1   1   2   2.9e-06    0.0012   17.3   0.0     2    58    68   124    67   161 0.86 # 80135 # 81244 # -1 # ID=11_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
Utg33270_65          -            370 984717at2            -            224   7.3e-05   21.2   0.1   2   2      0.16        64    1.8   0.0    88   107   239   260   203   282 0.70 # 80135 # 81244 # -1 # ID=11_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
Utg33260_456         -            557 984717at2            -            224   0.00041   18.8   0.1   1   1   2.4e-06   0.00099   17.5   0.1     4    23   218   237   215   253 0.79 # 697682 # 699352 # -1 # ID=6_456;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=14bp;gc_cont=0.379
Utg33264_280         -            368 984717at2            -            224   0.00073   17.9   0.8   1   1   4.7e-06    0.0019   16.6   0.8     4    57   155   226   152   233 0.68 # 431151 # 432254 # -1 # ID=8_280;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
Utg33274_113         -            416 984717at2            -            224    0.0057   15.0   1.0   1   2   5.1e-05     0.021   13.2   0.3     2    30    25    53    24   108 0.76 # 170107 # 171354 # 1 # ID=13_113;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
Utg33274_113         -            416 984717at2            -            224    0.0057   15.0   1.0   2   2       2.1   8.4e+02   -1.9   0.0   122   136   200   214   153   219 0.60 # 170107 # 171354 # 1 # ID=13_113;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
Utg33250_160         -            648 984717at2            -            224    0.0071   14.7   0.0   1   1   6.9e-05     0.028   12.8   0.0     4    73   172   240   169   300 0.77 # 249919 # 251862 # -1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
Utg33264_342         -            192 984717at2            -            224     0.015   13.6   0.1   1   2   0.00099       0.4    9.0   0.0     4    21    21    38    18    78 0.89 # 523146 # 523721 # 1 # ID=8_342;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
Utg33264_342         -            192 984717at2            -            224     0.015   13.6   0.1   2   2     0.058        24    3.2   0.0    91   109   123   141    81   158 0.85 # 523146 # 523721 # 1 # ID=8_342;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
Utg33252_118         -            412 984717at2            -            224     0.015   13.6   0.2   1   2   0.00042      0.17   10.2   0.1     2    22     7    27     6    39 0.86 # 169636 # 170871 # 1 # ID=2_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
Utg33252_118         -            412 984717at2            -            224     0.015   13.6   0.2   2   2      0.29   1.2e+02    0.9   0.0    88   108   217   237   189   256 0.78 # 169636 # 170871 # 1 # ID=2_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
Utg33258_109         -            210 984717at2            -            224     0.024   13.0   0.0   1   1   8.8e-05     0.036   12.4   0.0     2    24    19    41    18   148 0.81 # 171113 # 171742 # 1 # ID=5_109;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
Utg33258_145         -            323 984717at2            -            224     0.027   12.8   0.4   1   2   0.00021     0.086   11.2   0.1     2    56    35   101    34   115 0.61 # 223631 # 224599 # 1 # ID=5_145;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
Utg33258_145         -            323 984717at2            -            224     0.027   12.8   0.4   2   2       1.6   6.4e+02   -1.5   0.0    94   136   174   220   160   241 0.56 # 223631 # 224599 # 1 # ID=5_145;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
Utg33270_48          -            663 984717at2            -            224     0.041   12.2   0.0   1   3      0.87   3.5e+02   -0.7   0.0     2    20     8    26     7    32 0.86 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 984717at2            -            224     0.041   12.2   0.0   2   3      0.27   1.1e+02    1.0   0.0    91   119   108   137    82   149 0.80 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 984717at2            -            224     0.041   12.2   0.0   3   3    0.0047       1.9    6.8   0.0     4    25   453   474   450   582 0.73 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33280_749         -            315 984717at2            -            224     0.052   11.9   1.1   1   1    0.0004      0.16   10.3   1.1     2    25   136   159   135   280 0.77 # 1115501 # 1116445 # 1 # ID=16_749;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
Utg33250_319         -            193 984717at2            -            224     0.065   11.6   0.0   1   1    0.0011      0.43    8.9   0.0     4    83    30   103    28   154 0.77 # 483422 # 484000 # -1 # ID=1_319;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
Utg33254_59          -           1560 984717at2            -            224     0.074   11.4   3.4   1   3     0.002      0.81    8.0   0.0     2    22   668   688   667   696 0.92 # 101899 # 106578 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
Utg33254_59          -           1560 984717at2            -            224     0.074   11.4   3.4   2   3       4.2   1.7e+03   -2.9   0.2   177   210   940   973   823   974 0.59 # 101899 # 106578 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
Utg33254_59          -           1560 984717at2            -            224     0.074   11.4   3.4   3   3     0.059        24    3.2   0.1     2    18  1332  1348  1331  1352 0.86 # 101899 # 106578 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:43:31 2023
# [ok]
