#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264_198         -            527 1592033at2           -            393   1.2e-09   36.5   1.0   1   1   6.6e-12     2e-09   35.8   1.0   192   355   272   449   209   485 0.83 # 302703 # 304283 # -1 # ID=8_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
Utg33286_188         -            395 1592033at2           -            393   0.00027   18.9   0.1   1   2   2.8e-06   0.00085   17.3   0.0   195   240    21    67     6    72 0.86 # 278622 # 279806 # -1 # ID=19_188;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
Utg33286_188         -            395 1592033at2           -            393   0.00027   18.9   0.1   2   2       2.3     7e+02   -2.2   0.3   290   381   113   209   108   218 0.70 # 278622 # 279806 # -1 # ID=19_188;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
Utg33282_91          -            216 1592033at2           -            393   0.00076   17.5   0.4   1   1   1.6e-05    0.0047   14.9   0.4   270   353    90   183     8   197 0.71 # 140869 # 141516 # -1 # ID=17_91;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=7bp;gc_cont=0.407
Utg33272_487         -            273 1592033at2           -            393    0.0015   16.5   0.0   1   1   9.4e-06    0.0028   15.6   0.0   272   318   221   266   216   270 0.91 # 723170 # 723988 # -1 # ID=12_487;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.422
Utg33272_300         -            221 1592033at2           -            393    0.0017   16.3   0.4   1   2       1.4   4.1e+02   -1.4   0.0   195   216    13    34     9    42 0.81 # 450759 # 451421 # 1 # ID=12_300;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
Utg33272_300         -            221 1592033at2           -            393    0.0017   16.3   0.4   2   2     2e-05    0.0061   14.5   0.4   271   361    83   190    81   216 0.67 # 450759 # 451421 # 1 # ID=12_300;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
Utg33280_749         -            315 1592033at2           -            393    0.0031   15.5   0.7   1   2   3.8e-05     0.011   13.6   0.1   193   219   132   158   126   165 0.90 # 1115501 # 1116445 # 1 # ID=16_749;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
Utg33280_749         -            315 1592033at2           -            393    0.0031   15.5   0.7   2   2      0.89   2.7e+02   -0.8   0.1   297   330   237   269   226   276 0.65 # 1115501 # 1116445 # 1 # ID=16_749;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
Utg33264_164         -            209 1592033at2           -            393    0.0033   15.3   0.4   1   1   3.3e-05      0.01   13.8   0.4   189   352     3   178     1   198 0.74 # 250439 # 251065 # 1 # ID=8_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.384
Utg33286_395         -            856 1592033at2           -            393    0.0037   15.2   0.3   1   2   3.4e-05      0.01   13.8   0.0   173   226   166   219   155   222 0.87 # 572619 # 575186 # -1 # ID=19_395;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
Utg33286_395         -            856 1592033at2           -            393    0.0037   15.2   0.3   2   2       3.9   1.2e+03   -2.9   0.1   273   321   334   379   328   412 0.62 # 572619 # 575186 # -1 # ID=19_395;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
Utg33278_158         -            224 1592033at2           -            393    0.0037   15.2   0.1   1   2     0.012       3.6    5.4   0.0   194   250    13    71    10    74 0.79 # 215168 # 215839 # -1 # ID=15_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33278_158         -            224 1592033at2           -            393    0.0037   15.2   0.1   2   2    0.0019      0.57    8.0   0.0   277   357    90   181    82   199 0.69 # 215168 # 215839 # -1 # ID=15_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
Utg33260_309         -            211 1592033at2           -            393     0.004   15.1   0.5   1   2      0.97   2.9e+02   -0.9   0.0   197   223    10    35     3    65 0.71 # 467827 # 468459 # -1 # ID=6_309;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
Utg33260_309         -            211 1592033at2           -            393     0.004   15.1   0.5   2   2   3.7e-05     0.011   13.6   0.1   271   361    78   182    76   207 0.68 # 467827 # 468459 # -1 # ID=6_309;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.415
Utg33250_319         -            193 1592033at2           -            393     0.007   14.3   0.1   1   1   0.00032     0.095   10.6   0.1   201   321    32   143    26   164 0.75 # 483422 # 484000 # -1 # ID=1_319;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
Utg33252_675         -            223 1592033at2           -            393    0.0094   13.9   0.0   1   2     0.007       2.1    6.1   0.0   194   250    13    71    10    75 0.87 # 1004744 # 1005412 # -1 # ID=2_675;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
Utg33252_675         -            223 1592033at2           -            393    0.0094   13.9   0.0   2   2    0.0084       2.5    5.9   0.0   277   359    90   183    81   203 0.68 # 1004744 # 1005412 # -1 # ID=2_675;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
Utg33264_19          -            311 1592033at2           -            393     0.028   12.3   1.8   1   3      0.42   1.3e+02    0.3   0.0   195   240     7    53     2    64 0.77 # 21892 # 22824 # 1 # ID=8_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
Utg33264_19          -            311 1592033at2           -            393     0.028   12.3   1.8   2   3    0.0003      0.09   10.6   0.2   274   322    85   137    81   155 0.80 # 21892 # 22824 # 1 # ID=8_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
Utg33264_19          -            311 1592033at2           -            393     0.028   12.3   1.8   3   3       4.4   1.3e+03   -3.1   0.1   294   349   199   256   186   279 0.49 # 21892 # 22824 # 1 # ID=8_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
Utg33270_48          -            663 1592033at2           -            393     0.078   10.8   0.3   1   5      0.15        45    1.8   0.0   192   219     3    30     2    38 0.84 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 1592033at2           -            393     0.078   10.8   0.3   2   5     0.068        20    2.9   0.0   299   341   103   141    73   181 0.77 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 1592033at2           -            393     0.078   10.8   0.3   3   5       3.9   1.2e+03   -2.9   0.0   191   217   445   471   430   476 0.77 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 1592033at2           -            393     0.078   10.8   0.3   4   5       0.6   1.8e+02   -0.2   0.0   270   322   519   580   516   616 0.70 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33270_48          -            663 1592033at2           -            393     0.078   10.8   0.3   5   5      0.84   2.5e+02   -0.7   0.0   231   265   623   657   621   658 0.85 # 57908 # 59896 # -1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
Utg33260_163         -            677 1592033at2           -            393       1.3    6.8   7.4   1   2     0.002      0.61    7.9   0.5   192   251   143   204   136   347 0.69 # 249700 # 251730 # 1 # ID=6_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
Utg33260_163         -            677 1592033at2           -            393       1.3    6.8   7.4   2   2       2.7   8.1e+02   -2.4   1.5   344   390   411   458   403   461 0.75 # 249700 # 251730 # 1 # ID=6_163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_bacteria_odb10/hmmer_output/1592033at2.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:43:27 2023
# [ok]
