# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
1552706at2759	Complete	Utg33264	52838	53656	-	86.1	91
1558822at2759	Complete	Utg33278	457255	457533	+	83.6	65
1563319at2759	Missing
1567796at2759	Complete	Utg33252	446854	447450	+	124.0	132
1575179at2759	Complete	Utg33284	193248	193580	+	27.9	43
1576404at2759	Complete	Utg33280	753653	754177	+	61.8	142
1588798at2759	Complete	Utg33284	582236	583279	-	81.8	91
1593937at2759	Complete	Utg33252	823847	825196	+	48.3	125
1617752at2759	Complete	Utg33252	469399	469704	+	114.6	93
1620056at2759	Complete	Utg33266	116937	117356	+	44.8	71
1623701at2759	Complete	Utg33252	1041501	1042070	+	97.4	91
1626636at2759	Fragmented	Utg33280	274930	275511	-	56.7	80
1633672at2759	Fragmented	Utg33254	976862	977128	-	105.6	81
1645187at2759	Complete	Utg33264	384759	385193	-	32.9	36
